time,AI_Predicted_PM25,Actual_PM25
2026-04-10 12:00:00,29.224366198730472,58.6
2026-04-10 13:00:00,28.39911744384766,62.6
2026-04-10 14:00:00,28.66007603759766,64.0
2026-04-10 15:00:00,29.535364550781253,62.4
2026-04-10 16:00:00,28.07992341308594,58.6
2026-04-10 17:00:00,28.679663525390627,51.3
2026-04-10 18:00:00,34.30006613769532,44.2
2026-04-10 19:00:00,31.206542785644537,67.1
2026-04-10 20:00:00,29.080805737304694,61.0
2026-04-10 21:00:00,28.891932946777345,56.9
2026-04-10 22:00:00,27.02301787109376,52.3
2026-04-10 23:00:00,26.214962524414062,47.5
2026-04-11 00:00:00,31.56738911132813,41.9
2026-04-11 01:00:00,29.7534963256836,38.4
2026-04-11 02:00:00,26.519944177246096,37.0
2026-04-11 03:00:00,23.954395361328125,36.8
2026-04-11 04:00:00,23.241685888671874,37.0
2026-04-11 05:00:00,24.097675805664064,37.1
2026-04-11 06:00:00,24.559772949218758,37.6
2026-04-11 07:00:00,25.11679916992188,40.2
2026-04-11 08:00:00,28.082816552734386,40.6
2026-04-11 09:00:00,29.194108813476564,42.8
2026-04-11 10:00:00,28.006866223144534,44.6
2026-04-11 11:00:00,27.5546092163086,47.8
