time,AI_Predicted_PM25,Actual_PM25
2026-04-08 16:00:00,34.07882601852431,36.6
2026-04-08 17:00:00,33.6719902497471,33.5
2026-04-08 18:00:00,33.99569129127281,31.9
2026-04-08 19:00:00,35.775312271734784,32.2
2026-04-08 20:00:00,35.07886311188971,30.4
2026-04-08 21:00:00,31.22011144247417,28.9
2026-04-08 22:00:00,29.997307672329818,27.6
2026-04-08 23:00:00,27.250349967928752,26.1
2026-04-09 00:00:00,26.088890047247943,24.2
2026-04-09 01:00:00,23.866642133734977,22.1
2026-04-09 02:00:00,23.10362441589236,20.5
2026-04-09 03:00:00,24.853904177226383,19.4
2026-04-09 04:00:00,24.661961018463124,19.4
2026-04-09 05:00:00,23.16841001779241,20.1
2026-04-09 06:00:00,22.49407735106363,20.9
2026-04-09 07:00:00,22.036420940424648,28.8
2026-04-09 08:00:00,21.685255535893496,27.7
2026-04-09 09:00:00,19.850004135904264,28.5
2026-04-09 10:00:00,20.42537968270032,30.7
2026-04-09 11:00:00,23.717109669200028,33.8
2026-04-09 12:00:00,26.25243943742071,36.1
2026-04-09 13:00:00,25.764181895570328,38.8
2026-04-09 14:00:00,27.69464876158562,40.6
2026-04-09 15:00:00,27.34193671558825,41.7
