time,AI_Predicted_PM25,Actual_PM25
2026-04-10 12:00:00,27.030531140136723,58.6
2026-04-10 13:00:00,27.639717492675786,62.6
2026-04-10 14:00:00,25.667332653808597,64.0
2026-04-10 15:00:00,27.37835593261719,62.4
2026-04-10 16:00:00,27.79740894775391,58.6
2026-04-10 17:00:00,28.676100170898444,51.3
2026-04-10 18:00:00,34.16197038574219,44.2
2026-04-10 19:00:00,30.6227228881836,67.1
2026-04-10 20:00:00,29.50102631835938,61.0
2026-04-10 21:00:00,30.586994653320318,56.9
2026-04-10 22:00:00,31.180574218750007,52.3
2026-04-10 23:00:00,30.838648046875,47.5
2026-04-11 00:00:00,31.163664758300783,41.9
2026-04-11 01:00:00,28.664234399414063,38.4
2026-04-11 02:00:00,25.925752282714846,37.0
2026-04-11 03:00:00,25.003681176757816,36.8
2026-04-11 04:00:00,24.365232580566406,37.0
2026-04-11 05:00:00,24.00092587890625,37.1
2026-04-11 06:00:00,25.43671872558594,37.6
2026-04-11 07:00:00,26.993002783203124,40.2
2026-04-11 08:00:00,26.772933361816413,40.6
2026-04-11 09:00:00,25.216885156250004,42.8
2026-04-11 10:00:00,26.0373801147461,44.6
2026-04-11 11:00:00,25.873895422363283,47.8
