time,AI_Predicted_PM25,Actual_PM25
2026-04-08 17:00:00,31.492420514861976,33.5
2026-04-08 18:00:00,32.10710877920463,31.9
2026-04-08 19:00:00,31.80798526141545,32.2
2026-04-08 20:00:00,30.821342285386383,30.4
2026-04-08 21:00:00,30.74367788552348,28.9
2026-04-08 22:00:00,28.037476759137576,27.6
2026-04-08 23:00:00,27.54679406873717,26.1
2026-04-09 00:00:00,23.587386003646152,24.2
2026-04-09 01:00:00,23.80762814407482,22.1
2026-04-09 02:00:00,23.754695015522582,20.5
2026-04-09 03:00:00,24.98305042212775,19.4
2026-04-09 04:00:00,23.5377886971968,19.4
2026-04-09 05:00:00,21.842059385412544,20.1
2026-04-09 06:00:00,22.626362557569905,20.9
2026-04-09 07:00:00,22.526582655812607,28.8
2026-04-09 08:00:00,20.47397620476429,27.7
2026-04-09 09:00:00,18.49629704302219,28.5
2026-04-09 10:00:00,19.73716126562752,30.7
2026-04-09 11:00:00,23.606402161544526,33.8
2026-04-09 12:00:00,26.320060285241965,36.1
2026-04-09 13:00:00,26.70605360232975,38.8
2026-04-09 14:00:00,27.076803803728904,40.6
2026-04-09 15:00:00,26.579380409469188,41.7
2026-04-09 16:00:00,25.290905617329585,41.0
