time,AI_Predicted_PM25
2026-04-15 10:00:00,20.65146128808027
2026-04-15 11:00:00,27.622763077302135
2026-04-15 12:00:00,30.863633577735357
2026-04-15 13:00:00,32.41411535396536
2026-04-15 14:00:00,29.67069603852384
2026-04-15 15:00:00,27.5062100313905
2026-04-15 16:00:00,26.495551908501305
2026-04-15 17:00:00,26.265978633081918
2026-04-15 18:00:00,25.516123180004143
2026-04-15 19:00:00,24.124638060368216
2026-04-15 20:00:00,23.765412808512153
2026-04-15 21:00:00,24.372401562935217
2026-04-15 22:00:00,24.075691301392016
2026-04-15 23:00:00,24.958131051745138
2026-04-16 00:00:00,27.49176185273874
2026-04-16 01:00:00,24.775547127719094
2026-04-16 02:00:00,22.594667612650017
2026-04-16 03:00:00,23.281695178530608
2026-04-16 04:00:00,26.26034345430303
2026-04-16 05:00:00,24.01436525470717
2026-04-16 06:00:00,22.42896047032014
2026-04-16 07:00:00,21.80872256408678
2026-04-16 08:00:00,18.886201267136276
2026-04-16 09:00:00,19.11086653437352
